date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:49	59639/59639	---M--	200	added ('OK')	image/png	etag:%22e8f7-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/vignette_collection.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/vignette_collection.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:50	11114/11114	---M--	200	added ('OK')	image/png	etag:%222b6a-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/hotel-indigo.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/hotel-indigo.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:50	679030/679030	---M--	200	added ('OK')	image/png	etag:%22a5c76-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/kimpton.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/kimpton.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:51	15181/15181	---M--	200	added ('OK')	image/png	etag:%223b4d-6286a716b556c%22	https://kualalumpur.intercontinental.com/resources/logos/hualuxe.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/hualuxe.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:51	11350/11350	---M--	200	added ('OK')	image/png	etag:%222c56-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/crowne-plaza.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/crowne-plaza.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:52	4048/4048	---M--	200	added ('OK')	image/png	etag:%22fd0-6286a7168963c%22	https://kualalumpur.intercontinental.com/resources/download.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/download.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:52	22830/22830	---M--	200	added ('OK')	image/png	etag:%22592e-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/even-hotels.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/even-hotels.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:52	13581/13581	---M--	200	added ('OK')	image/png	etag:%22350d-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/holiday-inn-express.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/holiday-inn-express.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:52	7538/7538	---M--	200	added ('OK')	image/png	etag:%221d72-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/holiday-inn.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/holiday-inn.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:53	111369/111369	---M--	200	added ('OK')	image/png	etag:%221b309-6286a71625c59%22	https://kualalumpur.intercontinental.com/resources/xxl_153159467.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/xxl_153159467.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:53	15806/15806	---M--	200	added ('OK')	image/png	etag:%223dbe-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/avid.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/avid.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:53	72388/72388	---M--	200	added ('OK')	image/png	etag:%2211ac4-6286a716b556c%22	https://kualalumpur.intercontinental.com/resources/logos/voco.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/voco.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:53	23162/23162	---M--	200	added ('OK')	image/png	etag:%225a7a-6286a716b556c%22	https://kualalumpur.intercontinental.com/resources/logos/atwell-suites.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/atwell-suites.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:53	4965/4965	---M--	200	added ('OK')	image/png	etag:%221365-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/staybridge-suites.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/staybridge-suites.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:53	42488/42488	---M--	200	added ('OK')	image/png	etag:%22a5f8-6286a716b556c%22	https://kualalumpur.intercontinental.com/resources/logos/holiday-inn-club-vacations.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/holiday-inn-club-vacations.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:53	21559/21559	---M--	200	added ('OK')	image/png	etag:%225437-6286a716b45cb%22	https://kualalumpur.intercontinental.com/resources/logos/candlewood.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/logos/candlewood.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:54	4259/4259	---M--	200	added ('OK')	image/png	etag:%2210a3-631236b2a1641%22	https://kualalumpur.intercontinental.com/resources/ruby.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/resources/ruby.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
